,Ссылка,Название,Цена,Рассрочка,Диагональ экрана,Разрешение экрана,Частота обновления экрана,Тип матрицы,Процессор,Видеокарта,Размер оперативной памяти,Тип жесткого диска,Общий объем накопителей
269,https://kaspi.kz/shop/p/asus-vivobook-s15-oled-m3502qa-ma034w-90nb0xx2-m00140-chernyi-108214576/?c=710000000,Ноутбук ASUS VivoBook S15 OLED M3502QA-MA034W 90NB0XX2-M00140 черный,519 990 ₸,32 898 ₸,15.6 дюйм,2880x1620,120 Гц,OLED,AMD Ryzen 7 5800H,AMD Radeon Graphics,16 ГБ,SSD,512 ГБ
270,https://kaspi.kz/shop/p/asus-tuf-dash-f15-fx516pe-90nr0641-m00560-chernyi-101405400/?c=710000000,Ноутбук ASUS TUF Dash F15 FX516PE 90NR0641-M00560 черный,799 990 ₸,50 613 ₸,15.6 дюйм,"1920x1080, широкоформатный",144 Гц,IPS,Intel Core i7 11370H,NVIDIA GeForce RTX 3050 Ti,16 ГБ,SSD,512 ГБ
271,https://kaspi.kz/shop/p/asus-tuf-gaming-f15-fx506h-90nr0723-m05380-chernyi-102216407/?c=710000000,Ноутбук ASUS TUF Gaming F15 FX506H 90NR0723-M05380 черный,649 500 ₸,41 092 ₸,15.6 дюйм,1920x1080,144 Гц,IPS,Intel Core i5 11400H,nVidia GeForce RTX RTX 3050,16 ГБ,SSD,512 ГБ
272,https://kaspi.kz/shop/p/gigabyte-g5-gd-gd-51ru123-121sd-chernyi-102606192/?c=710000000,Ноутбук GIGABYTE G5 GD GD-51RU123/121SD черный,618 900 ₸,39 156 ₸,15.6 дюйм,"1920x1080, широкоформатный",144 Гц,IPS,Intel Core i5 11400H,NVIDIA GeForce RTX 3050,16 ГБ,SSD,512 ГБ
273,https://kaspi.kz/shop/p/lenovo-legion-5-15iah7h-82rb00fbrk-seryi-108520159/?c=710000000,Ноутбук Lenovo Legion 5 15IAH7H 82RB00FBRK серый,1 078 597 ₸,68 240 ₸,15.6 дюйм,2560x1440 2.5K,165 Гц,IPS,Intel Core i7-12700H,NVIDIA GeForce RTX 3070 ,16 ГБ,SSD,1000 ГБ
274,https://kaspi.kz/shop/p/lenovo-legion-5-15iah7h-82rb00esrk-seryi-108527595/?c=710000000,Ноутбук Lenovo Legion 5 15IAH7H 82RB00ESRK серый,921 127 ₸,58 277 ₸,15.6 дюйм,2560x1440 2.5K,165 Гц,IPS,Intel Core i7-12700H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,1000 ГБ
275,https://kaspi.kz/shop/p/gigabyte-g5-kd-9rc45kd0mlg101ru001-chernyi-104374658/?c=710000000,Ноутбук GIGABYTE G5 KD 9RC45KD0MLG101RU001 черный,638 000 ₸,40 365 ₸,15.6 дюйм,1920x1080 Full HD,144 Гц,IPS,Intel Core i5 11400H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,512 ГБ
276,https://kaspi.kz/shop/p/lenovo-ideapad-gaming-3-15ach6-82k201rhru-chernyi-106040839/?c=710000000,Ноутбук Lenovo IdeaPad Gaming 3 15ACH6 82K201RHRU черный,699 428 ₸,44 251 ₸,15.6 дюйм,1920x1080 Full HD,120 Гц,IPS,AMD Ryzen 5,NVIDIA GeForce RTX 3050 Ti,16 ГБ,SSD,512 ГБ
277,https://kaspi.kz/shop/p/lenovo-thinkpad-l15-gen-3-21c7003qrt-chernyi-108519653/?c=710000000,Ноутбук Lenovo ThinkPad L15 Gen 3 21C7003QRT черный,623 409 ₸,39 441 ₸,15.6 дюйм,1920x1080 Full HD,60 Гц,IPS,AMD Ryzen 7 Pro 5875U,AMD Radeon Graphics,16 ГБ,SSD,512 ГБ
278,https://kaspi.kz/shop/p/lenovo-thinkpad-t16-gen-1-21bv009jrt-chernyi-108519571/?c=710000000,Ноутбук Lenovo ThinkPad T16 Gen 1 21BV009JRT черный,1 194 969 ₸,75 602 ₸,16 дюйм,1920x1200 Full HD+,60 Гц,IPS,Intel Core i7 1255U,Intel Iris Xe,16 ГБ,SSD,1024 ГБ
279,https://kaspi.kz/shop/p/gigabyte-aero-16-ke5-72ru934hq-chernyi-106365827/?c=710000000,Ноутбук GIGABYTE AERO 16 KE5 72RU934HQ черный,1 185 619 ₸,75 010 ₸,16 дюйм,3840x2400,60 Гц,OLED,Intel Core i7-12700H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,1024 ГБ
280,https://kaspi.kz/shop/p/acer-nitro-5-nh-qfmer-008-chernyi-106826578/?c=710000000,Ноутбук Acer Nitro 5 NH.QFMER.008 черный,859 980 ₸,54 408 ₸,15.6 дюйм,1920x1080 Full HD,60 Гц,IPS,Intel Core i7 12700H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,1024 ГБ
281,https://kaspi.kz/shop/p/gigabyte-aorus-17-xe4-xe4-73ru514ud-seryi-108213324/?c=710000000,Ноутбук GIGABYTE AORUS 17 XE4 XE4-73RU514UD серый,1 115 288 ₸,70 561 ₸,17.3 дюйм,1920x1080 Full HD,360 Гц,IPS,Intel Core i7-12700H,NVIDIA GeForce RTX 3070 Ti,16 ГБ,SSD,1024 ГБ
282,https://kaspi.kz/shop/p/lenovo-thinkbook-16-g4-21cy001pru-seryi-108519624/?c=710000000,Ноутбук Lenovo ThinkBook 16 G4+ 21CY001PRU серый,971 331 ₸,61 453 ₸,16 дюйм,2560x1600 2.5K,60 Гц,IPS,Intel Core i5 12500H,NVIDIA GeForce RTX 2050,16 ГБ,SSD,512 ГБ
283,https://kaspi.kz/shop/p/chuwi-corebook-x-pro-4c8t-16g-512g-seryi-106242138/?c=710000000,Ноутбук Chuwi CoreBook X Pro 4C8T 16G/512G серый,369 990 ₸,23 408 ₸,15.6 дюйм,1920x1080,60 Гц,IPS,Intel Core i5 10210U,Intel 10th UHD Graphics,16 ГБ,SSD,512 ГБ
284,https://kaspi.kz/shop/p/lenovo-thinkpad-e15-gen-4-21ed006urt-chernyi-108519740/?c=710000000,Ноутбук Lenovo ThinkPad E15 Gen 4 21ED006URT черный,552 695 ₸,34 968 ₸,15.6 дюйм,1920x1080 Full HD,60 Гц,IPS,AMD Ryzen 7 5825U,AMD Radeon Graphics,16 ГБ,SSD,512 ГБ
285,https://kaspi.kz/shop/p/lenovo-thinkpad-t16-gen-1-21bv006drt-chernyi-108519744/?c=710000000,Ноутбук Lenovo ThinkPad T16 Gen 1 21BV006DRT черный,1 025 163 ₸,64 859 ₸,16 дюйм,1920x1200 Full HD,60 Гц,IPS,Intel Core i5 1240P,Intel Iris Xe,16 ГБ,SSD,512 ГБ
286,https://kaspi.kz/shop/p/acer-nitro-5-an515-46-r031-nh-qgzer-007-temno-seryi-106694144/?c=710000000,Ноутбук Acer Nitro 5 AN515-46-R031 NH.QGZER.007 темно-серый,699 469 ₸,44 253 ₸,15.6 дюйм,1920x1080 Full HD,144 Гц,IPS,AMD Ryzen 7 6800H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,512 ГБ
287,https://kaspi.kz/shop/p/gigabyte-aorus-17-xe4-xe4-73ru514sd-chernyi-106042968/?c=710000000,Ноутбук GIGABYTE AORUS 17 XE4 XE4-73RU514SD черный,1 109 660 ₸,70 205 ₸,17.3 дюйм,1920x1080 Full HD,60 Гц,IPS,Intel Core i7 12700H,NVIDIA GeForce RTX 3070 TI,16 ГБ,SSD,1024 ГБ
288,https://kaspi.kz/shop/p/lenovo-thinkbook-15-g2-itl-20ve0056ru-seryi-103294681/?c=710000000,Ноутбук Lenovo ThinkBook 15 G2 ITL 20VE0056RU серый,529 990 ₸,33 531 ₸,15.6 дюйм,1920х1080 Full HD,60 Гц,TN,Intel Core i5 1135G7,Intel Iris Xe Graphics,16 ГБ,SSD,512 ГБ
289,https://kaspi.kz/shop/p/lenovo-legion-5-15arh7h-82rd009xrk-seryi-107332852/?c=710000000,Ноутбук Lenovo Legion 5 15ARH7H 82RD009XRK серый,871 682 ₸,55 149 ₸,15.6 дюйм,1920x1080 Full HD,144 Гц,IPS,AMD Ryzen 7 6800H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,512 ГБ
